"postal_code","town","lease_commenced"
"640426","JURONG WEST","1985-05-01"
"640828","JURONG WEST","1993-05-01"
"530160","HOUGANG","1997-12-01"
"642663","JURONG WEST","2000-08-01"
"611175","JURONG WEST","2015-05-01"
"370085","GEYLANG","1970-01-01"
"640755","JURONG WEST","1996-09-01"
"640627","JURONG WEST","2001-08-01"
"640176","JURONG WEST","1978-07-01"
"610349","JURONG WEST","1997-12-01"
"641670","JURONG WEST","2002-05-01"
"641828","JURONG WEST","1993-05-27"
"640489","JURONG WEST","1984-08-01"
"670629","BUKIT PANJANG","2004-10-01"
"640200","JURONG WEST","1976-11-01"
"320039","KALLANG/WHAMPOA","1972-07-01"
"544180","SENGKANG","2015-03-01"
"640481","JURONG WEST","1985-04-01"
"640205","JURONG WEST","1976-06-01"
"120334","CLEMENTI","1978-07-01"
"610120","JURONG WEST","1972-01-01"
"530129","HOUGANG","1985-07-01"
"614339","JURONG WEST","2012-03-01"
"640540","JURONG WEST","1984-12-01"
"600320","JURONG EAST","1984-11-01"
"822210","PUNGGOL","2014-12-01"
"543189","SENGKANG","2000-07-01"
"821199","PUNGGOL","2003-05-01"
"461019","BEDOK","1972-07-01"
"640859","JURONG WEST","1997-01-01"
"640609","JURONG WEST","2001-05-01"
"530133","HOUGANG","1985-03-01"
"530362","HOUGANG","1992-09-19"
"640492","JURONG WEST","1986-07-01"
"642181","JURONG WEST","2014-05-01"
"520870","TAMPINES","1989-07-01"
"760619","YISHUN","1987-04-01"
"641674","JURONG WEST","2002-05-01"
"640434","JURONG WEST","1984-10-01"
"600227","JURONG EAST","1984-06-01"
"640427","JURONG WEST","1985-03-01"
"600329","JURONG EAST","1983-06-01"
"543279","SENGKANG","2015-08-01"
"601219","JURONG EAST","1985-05-01"
"640703","JURONG WEST","1995-07-01"
"680403","CHOA CHU KANG","1993-06-03"
"600223","JURONG EAST","1984-08-01"
"640543","JURONG WEST","1984-12-01"
"642682","JURONG WEST","2000-09-01"
"600315","JURONG EAST","1984-05-01"
"640185","JURONG WEST","1975-10-01"
"640534","JURONG WEST","1982-05-01"
"640506","JURONG WEST","1986-03-01"
"640186","JURONG WEST","1975-10-01"
"640439","JURONG WEST","1984-07-01"
"640729","JURONG WEST","1989-12-01"
"613337","JURONG WEST","2010-04-01"
"530449","HOUGANG","1991-01-01"
"400020","GEYLANG","1982-01-01"
"520129","TAMPINES","1987-09-01"
"821211","PUNGGOL","2014-04-01"
"640263","JURONG WEST","1995-06-01"
"640831","JURONG WEST","1993-05-01"
"640482","JURONG WEST","1984-11-01"
"644660","JURONG WEST","2001-09-01"
"640860","JURONG WEST","1996-11-01"
"600106","JURONG EAST","1982-10-01"
"642684","JURONG WEST","2000-08-01"
"644274","JURONG WEST","2001-12-01"
"610354","JURONG WEST","1997-01-01"
"640484","JURONG WEST","1985-07-01"
"330094","KALLANG/WHAMPOA","1979-01-01"
"640830","JURONG WEST","1993-05-27"
"542269","SENGKANG","2006-02-01"
"610351","JURONG WEST","1997-12-01"
"642661","JURONG WEST","2001-08-01"
"642679","JURONG WEST","2000-09-01"
"600219","JURONG EAST","1985-03-01"
"410649","BEDOK","1993-04-29"
"640524","JURONG WEST","1982-04-01"
"640625","JURONG WEST","2001-02-01"
"643664","JURONG WEST","2000-08-01"
"640864","JURONG WEST","1996-10-01"
"614337","JURONG WEST","2010-04-01"
"530698","HOUGANG","1986-10-01"
"644276","JURONG WEST","2002-03-01"
"640418","JURONG WEST","1985-03-01"
"600307","JURONG EAST","1984-10-01"
"640551","JURONG WEST","1985-02-01"
"640820","JURONG WEST","1993-12-01"
"380120","GEYLANG","1982-05-01"
"610322","JURONG WEST","1997-08-01"
"641273","JURONG WEST","2001-12-01"
"640844","JURONG WEST","1996-03-01"
"642677","JURONG WEST","2008-06-01"
"600338","JURONG EAST","1984-07-01"
"640617","JURONG WEST","2000-11-01"
"640840","JURONG WEST","1993-05-27"
"640720","JURONG WEST","1989-12-01"
"650269","BUKIT BATOK","1986-10-01"
"641196","JURONG WEST","2015-04-01"
"642668","JURONG WEST","2000-06-01"
"640188","JURONG WEST","1978-07-01"
"640430","JURONG WEST","1985-01-01"
"461032","BEDOK","1974-01-01"
"640751","JURONG WEST","1992-08-15"
"640531","JURONG WEST","1983-08-01"
"600023","JURONG EAST","2013-09-01"
"600055","JURONG EAST",NULL
"640266","JURONG WEST","1995-06-01"
"680486","CHOA CHU KANG","1999-06-01"
"640490","JURONG WEST","1984-07-01"
"460530","BEDOK","1979-08-01"
"642218","JURONG WEST",NULL
"733688","WOODLANDS","2004-03-01"
"543298","SENGKANG","2001-08-01"
"640453","JURONG WEST","1985-05-01"
"643662","JURONG WEST","2001-09-01"
"600322","JURONG EAST","1985-09-01"
"610122","JURONG WEST","1974-06-01"
"560412","ANG MO KIO","1979-08-01"
"640410","JURONG WEST","1985-07-01"
"610334","JURONG WEST","1997-01-01"
"640849","JURONG WEST","1996-03-01"
"641830","JURONG WEST","1993-05-27"
"600030","JURONG EAST","1981-07-01"
"610329","JURONG WEST","1997-08-01"
"730519","WOODLANDS","2000-09-01"
"640541","JURONG WEST","1984-11-01"
"640433","JURONG WEST","1985-02-01"
"824266","PUNGGOL","2015-06-01"
"640766","JURONG WEST","1996-06-01"
"642680","JURONG WEST","2000-08-01"
"610360","JURONG WEST","1995-11-01"
"640630","JURONG WEST","2001-08-01"
"640750","JURONG WEST","1993-12-01"
"640460","JURONG WEST","1985-02-01"
"463219","BEDOK","2010-05-01"
"642273","JURONG WEST","2001-12-01"
"530950","HOUGANG","1999-05-01"
"600340","JURONG EAST","1984-07-01"
"640442","JURONG WEST","1984-10-01"
"610159","JURONG WEST","1996-05-01"
"640409","JURONG WEST","1985-08-01"
"642662","JURONG WEST","2001-07-01"
"641662","JURONG WEST","2001-06-01"
"600021","JURONG EAST","2013-09-01"
"640612","JURONG WEST","2001-03-01"
"640624","JURONG WEST","2001-02-01"
"640494","JURONG WEST","1986-07-01"
"600310","JURONG EAST","1985-02-01"
"542120","SENGKANG","2001-03-01"
"560620","ANG MO KIO","1980-09-01"
"600314","JURONG EAST","1984-07-01"
"644668","JURONG WEST","2000-07-01"
"640448","JURONG WEST","1984-09-01"
"642197","JURONG WEST","2015-04-01"
"610367","JURONG WEST","1997-08-01"
"640532","JURONG WEST","1982-08-01"
"640440","JURONG WEST","1985-05-01"
"643659","JURONG WEST","2001-07-01"
"640212","JURONG WEST","1974-10-01"
"644273","JURONG WEST","2001-11-01"
"600107","JURONG EAST","1993-05-15"
"570164","BISHAN","1988-07-01"
"640187","JURONG WEST","1978-07-01"
"640477","JURONG WEST","1984-07-01"
"600050","JURONG EAST","1986-07-01"
"821260","PUNGGOL","2016-06-01"
"510510","PASIR RIS","1993-09-01"
"543119","SENGKANG","2001-03-01"
"600253","JURONG EAST","1985-06-01"
"640726","JURONG WEST","1992-08-15"
"640538","JURONG WEST","1984-09-01"
