"postal_code","town","lease_commenced"
"520726","TAMPINES","1997-08-01"
"461059","BEDOK","1978-05-01"
"460183","BEDOK","2005-12-01"
"521827","TAMPINES","2002-09-01"
"521156","TAMPINES","1984-09-01"
"520889","TAMPINES","1989-02-01"
"520407","TAMPINES","1985-10-01"
"520295","TAMPINES","1984-03-01"
"520203","TAMPINES","1983-10-01"
"460076","BEDOK","1978-01-01"
"521887","TAMPINES","1988-09-01"
"520339","TAMPINES","1995-12-01"
"520302","TAMPINES","1993-07-08"
"460116","BEDOK","1978-05-01"
"521145","TAMPINES","1984-12-01"
"526856","TAMPINES","1995-11-01"
"521868","TAMPINES","2015-06-01"
"521157","TAMPINES","1985-01-01"
"510562","PASIR RIS","1993-09-01"
"520833","TAMPINES","1985-01-01"
"523608","TAMPINES",NULL
"520286","TAMPINES","1984-06-01"
"520502","TAMPINES","1989-05-01"
"520840","TAMPINES","1986-01-01"
"521860","TAMPINES","1987-08-01"
"523450","TAMPINES","1996-09-01"
"521223","TAMPINES","1985-11-01"
"510536","PASIR RIS","1992-11-28"
"510540","PASIR RIS","1992-11-28"
"521496","TAMPINES","1993-07-08"
"510703","PASIR RIS","1996-01-01"
"520244","TAMPINES","1997-01-01"
"521234","TAMPINES","1984-12-01"
"460502","BEDOK","1978-04-01"
"510635","PASIR RIS","1995-07-01"
"520903","TAMPINES","1984-08-01"
"461052","BEDOK","1977-09-01"
"520415","TAMPINES","1987-01-01"
"521895","TAMPINES","1988-08-01"
"510762","PASIR RIS","1996-09-01"
"520102","TAMPINES","1988-11-01"
"520154","TAMPINES","1988-03-01"
"510583","PASIR RIS","1995-10-01"
"520727","TAMPINES","1997-09-01"
"520447","TAMPINES","1985-01-01"
"460161","BEDOK","1985-10-01"
"520384","TAMPINES","1993-09-01"
"521890","TAMPINES","2015-09-01"
"510706","PASIR RIS","1996-01-01"
"520324","TAMPINES","1995-12-01"
"510604","PASIR RIS","1995-03-01"
"520223","TAMPINES","1988-06-01"
"520303","TAMPINES","1993-07-08"
"521520","TAMPINES","2014-06-02"
"520272","TAMPINES","1984-07-01"
"521255","TAMPINES","1984-07-01"
"520734","TAMPINES","1997-06-01"
"520164","TAMPINES","1989-03-01"
"521869","TAMPINES","2015-06-01"
"520716","TAMPINES","1997-04-01"
"510775","PASIR RIS","1996-08-01"
"510737","PASIR RIS","1996-07-01"
"521630","TAMPINES",NULL
"522168","TAMPINES","2011-02-28"
"460091","BEDOK","1978-06-01"
"520163","TAMPINES","1989-06-01"
"521105","TAMPINES","1982-12-01"
"520830","TAMPINES","1986-02-01"
"510576","PASIR RIS","1995-10-01"
"521896","TAMPINES","1988-10-01"
"520720","TAMPINES","1997-04-01"
"521515","TAMPINES","2008-12-15"
"510502","PASIR RIS","1993-12-01"
"520116","TAMPINES","1988-11-01"
"520422","TAMPINES","1985-09-01"
"521450","TAMPINES","1996-11-01"
"521228","TAMPINES","1985-01-01"
"520873","TAMPINES","1988-12-01"
"510552","PASIR RIS","1992-11-28"
"510744","PASIR RIS","1996-09-01"
"460505","BEDOK","1978-11-01"
"460181","BEDOK","2006-01-01"
"520389","TAMPINES","1993-09-01"
"520408","TAMPINES","1985-06-01"
"520126","TAMPINES","1988-03-01"
"520430","TAMPINES","1986-03-01"
"521114","TAMPINES","1982-08-01"
"510645","PASIR RIS","1995-09-01"
"521867","TAMPINES","1989-02-01"
"520845","TAMPINES","1987-12-01"
"520895","TAMPINES","1988-09-01"
"510782","PASIR RIS","1996-08-01"
"522860","TAMPINES","1987-09-01"
"510520","PASIR RIS","1993-12-01"
"522230","TAMPINES","1993-07-08"
"520847","TAMPINES","1987-10-01"
"520111","TAMPINES","1987-12-01"
"520101","TAMPINES","1988-09-01"
"529230","TAMPINES","1993-07-08"
"520433","TAMPINES","1987-09-01"
"520707","TAMPINES","1997-06-01"
"520219","TAMPINES","1985-02-01"
"520842","TAMPINES","1986-05-01"
"524842","TAMPINES","1995-02-01"
"461054","BEDOK","1977-07-01"
"512525","PASIR RIS","2015-07-01"
"520463","TAMPINES","1986-09-01"
"520836","TAMPINES","1985-04-01"
"520226","TAMPINES","1988-05-01"
"520145","TAMPINES","1988-03-01"
"520305","TAMPINES","1993-07-08"
"520285","TAMPINES","1984-07-01"
"510752","PASIR RIS","1996-11-01"
"520319","TAMPINES","1995-10-01"
"520702","TAMPINES","1997-08-01"
"520926","TAMPINES","1983-12-01"
"520260","TAMPINES","1984-10-01"
"520505","TAMPINES","1989-08-01"
"520414","TAMPINES","1987-06-01"
"460170","BEDOK","1986-01-01"
"510766","PASIR RIS","1996-10-01"
"510717","PASIR RIS","1996-06-01"
"511527","PASIR RIS","2015-07-01"
"520813","TAMPINES","1984-08-01"
"523856","TAMPINES","1995-11-01"
"522495","TAMPINES","1994-01-01"
"520147","TAMPINES","1988-04-01"
"521247","TAMPINES","1984-04-01"
"520872","TAMPINES","1988-12-01"
"520501","TAMPINES","1989-11-01"
"521112","TAMPINES","1982-06-01"
"510509","PASIR RIS","1993-09-01"
"460070","BEDOK","1978-01-01"
"520242","TAMPINES","1997-01-01"
"510585","PASIR RIS","1995-10-01"
"521151","TAMPINES","1984-08-01"
"520910","TAMPINES","1984-10-01"
"521519","TAMPINES","2014-06-02"
"510707","PASIR RIS","1996-01-01"
"521864","TAMPINES","1988-08-01"
"523168","TAMPINES","2011-02-28"
"460093","BEDOK","1979-06-01"
"520843","TAMPINES","1988-01-01"
"520386","TAMPINES","1993-09-01"
"460109","BEDOK","1977-07-01"
"520316","TAMPINES","1995-08-01"
"520109","TAMPINES","1988-10-01"
"520453","TAMPINES","1987-11-01"
"520834","TAMPINES","1985-08-01"
"528842","TAMPINES","1995-08-01"
"510503","PASIR RIS","1993-12-01"
"520224","TAMPINES","1989-07-01"
"510646","PASIR RIS","1995-09-01"
"521612","TAMPINES",NULL
"520243","TAMPINES","1997-03-01"
"510748","PASIR RIS","1996-11-01"
"520844","TAMPINES","1985-07-01"
"510741","PASIR RIS","1996-09-01"
"511524","PASIR RIS","2015-07-01"
"520932","TAMPINES","1985-12-01"
"520150","TAMPINES","1987-12-01"
"520119","TAMPINES","1988-05-01"
"460165","BEDOK","1985-02-01"
"520371","TAMPINES","1995-09-01"
"525842","TAMPINES","1995-08-01"
"510711","PASIR RIS","1996-06-01"
"520108","TAMPINES","1988-06-01"
"521102","TAMPINES","1983-10-01"
"520908","TAMPINES","1983-10-01"
"522256","TAMPINES","1984-12-01"
"510607","PASIR RIS","1995-07-01"
"521166","TAMPINES","1984-06-01"
"520230","TAMPINES","1988-08-01"
"510701","PASIR RIS","1996-01-01"
"520503","TAMPINES","1990-02-01"
"460401","BEDOK","1979-06-01"
"510575","PASIR RIS","1995-10-01"
"460084","BEDOK","1978-04-01"
"520128","TAMPINES","1987-06-01"
"470762","BEDOK","2000-12-01"
"520418","TAMPINES","1985-06-01"
"510508","PASIR RIS","1993-09-01"
"520436","TAMPINES","1986-10-01"
"460117","BEDOK","1978-05-01"
"520113","TAMPINES","1988-03-01"
"510580","PASIR RIS","1995-10-01"
"522167","TAMPINES","2011-02-28"
"460157","BEDOK","1985-04-01"
"460119","BEDOK","1978-03-01"
"520732","TAMPINES","1997-06-01"
"520706","TAMPINES","1997-07-01"
"520868","TAMPINES","1989-03-01"
"520875","TAMPINES","1988-07-01"
"520275","TAMPINES","1985-01-01"
"520876","TAMPINES","1988-07-01"
"520902","TAMPINES","1984-07-01"
"520825","TAMPINES","1987-11-01"
"510756","PASIR RIS","1996-11-01"
"520308","TAMPINES","1993-07-08"
"521518","TAMPINES","2008-12-15"
"521485","TAMPINES","1989-05-01"
"520221","TAMPINES","1988-04-01"
"460164","BEDOK","1986-02-01"
"510584","PASIR RIS","1995-10-01"
"522622","TAMPINES",NULL
"520460","TAMPINES","1987-09-01"
"511528","PASIR RIS","2015-07-01"
"510755","PASIR RIS","1996-11-01"
"510614","PASIR RIS","1996-07-01"
"510105","PASIR RIS","1989-02-01"
"525856","TAMPINES","1995-11-01"
"520254","TAMPINES","1996-09-01"
"527497","TAMPINES","1996-06-01"
"520723","TAMPINES","1997-04-01"
"520911","TAMPINES","1984-07-01"
"526450","TAMPINES","1996-09-01"
"521221","TAMPINES","1984-11-01"
"520326","TAMPINES","1995-12-01"
"524497","TAMPINES","1996-06-01"
"510500","PASIR RIS","1993-12-01"
"520293","TAMPINES","1984-05-01"
"520710","TAMPINES","1997-06-01"
"510705","PASIR RIS","1996-01-01"
"523518","TAMPINES","2008-12-15"
"521897","TAMPINES","1988-07-01"
"521367","TAMPINES","1997-01-01"
"520393","TAMPINES","1994-11-01"
"520869","TAMPINES","1989-01-01"
"526230","TAMPINES","1993-07-08"
"520227","TAMPINES","1988-07-01"
"510641","PASIR RIS","1995-07-01"
"520940","TAMPINES","1989-05-01"
"460402","BEDOK","1979-06-01"
"521159","TAMPINES","1984-06-01"
"520874","TAMPINES","1989-03-01"
"520144","TAMPINES","1987-12-01"
"520309","TAMPINES","1993-07-01"
"524491","TAMPINES","1993-07-01"
"520257","TAMPINES","1985-02-01"
"520209","TAMPINES","1982-08-01"
"520888","TAMPINES","1988-10-01"
"520897","TAMPINES","1988-09-01"
"520225","TAMPINES","1988-11-01"
"520440","TAMPINES","1986-05-01"
"510644","PASIR RIS","1995-09-01"
"510113","PASIR RIS","1990-04-01"
"460185","BEDOK","2005-12-01"
"520315","TAMPINES","1993-07-01"
"521147","TAMPINES","1985-04-01"
"520817","TAMPINES","1984-09-01"
"522497","TAMPINES","1996-06-01"
"520134","TAMPINES","1988-08-01"
"521235","TAMPINES","1993-07-08"
"524515","TAMPINES","2008-12-15"
"523523","TAMPINES","2015-08-01"
"520722","TAMPINES","1997-04-01"
"520820","TAMPINES","1984-08-01"
"520808","TAMPINES","1984-04-01"
"520420","TAMPINES","1985-06-01"
"521125","TAMPINES","1985-11-01"
"520428","TAMPINES","1986-01-01"
"523609","TAMPINES",NULL
"521162","TAMPINES","1984-07-01"
"510516","PASIR RIS","1993-12-01"
"520425","TAMPINES","1985-11-01"
"520927","TAMPINES","1984-07-01"
"510557","PASIR RIS","1993-07-12"
"520306","TAMPINES","1993-07-08"
"461061","BEDOK","1977-07-01"
"510112","PASIR RIS","1990-04-01"
"510129","PASIR RIS","1988-11-01"
"460167","BEDOK","1986-04-01"
"460095","BEDOK","1979-06-01"
"521488","TAMPINES","1989-10-01"
"520712","TAMPINES","1997-04-01"
"510574","PASIR RIS","1995-10-01"
"523876","TAMPINES",NULL
"520828","TAMPINES","1987-10-01"
"521623","TAMPINES",NULL
"520807","TAMPINES","1984-04-01"
"520469","TAMPINES","1985-10-01"
"460172","BEDOK","1985-11-01"
"520162","TAMPINES","1989-03-01"
"520413","TAMPINES","1986-11-01"
"524201","TAMPINES","1987-11-01"
"520210","TAMPINES","1985-05-01"
"521108","TAMPINES","1984-07-01"
"520141","TAMPINES","1989-01-01"
"520431","TAMPINES","1986-02-01"
"521138","TAMPINES","1984-01-01"
"460066","BEDOK","1977-10-01"
"520105","TAMPINES","1988-02-01"
"520251","TAMPINES","1985-01-01"
"520728","TAMPINES","1997-09-01"
"520236","TAMPINES","1984-10-01"
"510627","PASIR RIS","1995-07-01"
"510708","PASIR RIS","1996-01-01"
"510609","PASIR RIS","1995-07-01"
"520934","TAMPINES","1985-02-01"
"510613","PASIR RIS","1996-07-01"
"510749","PASIR RIS","1996-11-01"
"522868","TAMPINES","2015-06-01"
"510513","PASIR RIS","1993-12-01"
"510601","PASIR RIS","1995-03-01"
"510615","PASIR RIS","1996-07-01"
"520122","TAMPINES","1988-03-01"
"460081","BEDOK","1978-06-01"
"522842","TAMPINES","1995-02-01"
"523519","TAMPINES","2014-06-02"
"520290","TAMPINES","1985-09-01"
"520370","TAMPINES","1997-01-01"
"520458","TAMPINES","1988-02-01"
"520409","TAMPINES","1986-11-01"
"520215","TAMPINES","1985-10-01"
"520234","TAMPINES","1988-07-01"
"520443","TAMPINES","1985-12-01"
"510507","PASIR RIS","1993-09-01"
"520426","TAMPINES","1986-01-01"
"520855","TAMPINES","1987-05-01"
"521230","TAMPINES","1993-07-01"
"521524","TAMPINES","2015-08-01"
"520277","TAMPINES","1985-02-01"
"520253","TAMPINES","1996-09-01"
"520862","TAMPINES","1988-05-01"
"460180","BEDOK","2006-01-01"
"521110","TAMPINES","1984-02-01"
"521167","TAMPINES","2011-02-28"
"510124","PASIR RIS","1989-03-01"
"520731","TAMPINES","1997-06-01"
"520867","TAMPINES","1989-01-01"
"521242","TAMPINES","1984-10-01"
"460162","BEDOK","1985-09-01"
"460413","BEDOK","1979-05-01"
"520849","TAMPINES","1987-11-01"
"470771","BEDOK","2000-12-01"
"520860","TAMPINES","1987-11-01"
"520449","TAMPINES","1985-05-01"
"510545","PASIR RIS","1992-11-28"
"510739","PASIR RIS","1996-09-01"
"520328","TAMPINES","1995-12-01"
"510738","PASIR RIS","1996-07-01"
"510564","PASIR RIS","1992-11-28"
"521111","TAMPINES","1984-06-01"
"521893","TAMPINES","1997-01-01"
"520856","TAMPINES","1986-04-01"
"510747","PASIR RIS","1996-11-01"
"510745","PASIR RIS","1996-09-01"
"463153","BEDOK",NULL
"522515","TAMPINES","2008-12-15"
"519735","PASIR RIS",NULL
"513527","PASIR RIS","2015-07-01"
"520885","TAMPINES","1987-11-01"
"510541","PASIR RIS","1992-11-28"
"510579","PASIR RIS","1995-10-01"
"521127","TAMPINES","1985-10-01"
"510767","PASIR RIS","1996-10-01"
"730643","WOODLANDS","1998-07-01"
"520864","TAMPINES","1988-07-01"
"751509","SEMBAWANG","2004-08-01"
"560536","ANG MO KIO","1980-02-01"
"520202","TAMPINES","1983-12-01"
"560427","ANG MO KIO","1978-10-01"
"520231","TAMPINES","1989-04-01"
"750471","SEMBAWANG","2000-07-01"
"520211","TAMPINES","1985-06-01"
"150082","BUKIT MERAH","1996-11-01"
"670624","BUKIT PANJANG","2001-12-01"
"520831","TAMPINES","1986-05-01"
"510638","PASIR RIS","1995-04-01"
"510781","PASIR RIS","1996-08-01"
"520131","TAMPINES","1988-09-01"
"521226","TAMPINES","1985-03-01"
"560119","ANG MO KIO","1978-10-01"
"521101","TAMPINES","1982-03-01"
"520136","TAMPINES","1988-09-01"
"520877","TAMPINES","1988-07-01"
"760311","YISHUN","1987-05-01"
"760837","YISHUN","1988-01-01"
"522518","TAMPINES","2008-12-15"
"650530","BUKIT BATOK","1987-06-01"
"530958","HOUGANG","1999-05-01"
"510709","PASIR RIS","1996-01-01"
"521244","TAMPINES","1984-06-01"
"560408","ANG MO KIO","1980-01-01"
"760867","YISHUN","1988-05-01"
"520289","TAMPINES","1985-04-01"
"190001","KALLANG/WHAMPOA","1979-09-01"
"510442","PASIR RIS","1989-06-01"
"520106","TAMPINES","1988-10-01"
"520338","TAMPINES","1995-12-01"
"520906","TAMPINES","1983-10-01"
"460077","BEDOK","1986-04-01"
"520385","TAMPINES","1993-09-01"
"523167","TAMPINES","2011-02-28"
"520258","TAMPINES","1985-03-01"
"464094","BEDOK","1993-04-29"
"520265","TAMPINES","1984-09-01"
"510780","PASIR RIS","1996-08-01"
"520738","TAMPINES","1997-09-01"
"510548","PASIR RIS","1992-11-28"
"521857","TAMPINES","1987-10-01"
"460069","BEDOK","1978-02-01"
"680135","CHOA CHU KANG","1989-04-01"
"520486","TAMPINES","1993-09-01"
"520388","TAMPINES","1993-09-01"
"510569","PASIR RIS","1992-11-28"
"080334","CENTRAL AREA","1981-03-01"
"670533","BUKIT PANJANG","1999-05-01"
"522863","TAMPINES","1988-02-01"
"521165","TAMPINES","1984-08-01"
"520222","TAMPINES","1988-05-01"
"521233","TAMPINES","1985-05-01"
"510608","PASIR RIS","1995-07-01"
"650345","BUKIT BATOK","1987-03-01"
"510250","PASIR RIS","1993-07-01"
"520846","TAMPINES","1986-01-01"
"520424","TAMPINES","1985-03-01"
"522492","TAMPINES","1993-07-01"
"670474","BUKIT PANJANG","2003-01-01"
"080006","BUKIT MERAH","1980-11-01"
"523874","TAMPINES",NULL
"543123","SENGKANG","1999-08-01"
"730540","WOODLANDS","2000-07-01"
"510482","PASIR RIS","1989-11-01"
"510269","PASIR RIS","1994-10-01"
"680420","CHOA CHU KANG","1993-05-26"
"793439","SENGKANG","2011-02-01"
"750309","SEMBAWANG","1998-12-01"
"510146","PASIR RIS","1995-01-01"
"510419","PASIR RIS","1989-06-01"
"521497","TAMPINES","1996-06-01"
"730121","WOODLANDS","1995-03-01"
"530631","HOUGANG","1985-08-01"
"510534","PASIR RIS","1992-11-28"
"510227","PASIR RIS","1993-07-01"
"510116","PASIR RIS","1989-01-01"
"152124","BUKIT MERAH","1996-09-01"
"510555","PASIR RIS","1992-11-28"
"510130","PASIR RIS","1994-04-01"
"520347","TAMPINES","1996-06-01"
"650257","BUKIT BATOK","1985-07-01"
"510423","PASIR RIS","1989-10-01"
"510255","PASIR RIS","1993-12-01"
"521299","TAMPINES","2012-03-01"
"350107","TOA PAYOH","1984-07-01"
"541260","SENGKANG","2001-01-01"
"520495","TAMPINES","1994-01-01"
"510213","PASIR RIS","1993-07-01"
"510486","PASIR RIS","1992-11-28"
"520494","TAMPINES","1993-07-01"
"732782","WOODLANDS","2015-06-01"
"510222","PASIR RIS","1993-07-01"
"520488","TAMPINES","1989-04-01"
"510115","PASIR RIS","1989-03-01"
"510191","PASIR RIS","1993-09-01"
"510724","PASIR RIS","1996-07-01"
"541212","SENGKANG","2012-10-01"
"730157","WOODLANDS","1985-03-01"
"542117","SENGKANG","2000-07-01"
"121441","CLEMENTI","2012-07-01"
"670652","BUKIT PANJANG","2001-11-01"
"510539","PASIR RIS","1992-11-28"
"350104","TOA PAYOH","1984-11-01"
"751469","SEMBAWANG","2001-08-01"
"350137","TOA PAYOH","1984-07-01"
"560440","ANG MO KIO","1979-01-01"
"510272","PASIR RIS","1994-04-01"
"540102","SENGKANG","1999-03-01"
"550210","SERANGOON","1985-09-01"
"410101","BEDOK","1988-10-01"
"520493","TAMPINES","1993-07-08"
"510453","PASIR RIS","1989-07-01"
"730747","WOODLANDS","1998-03-01"
"510407","PASIR RIS","1990-03-01"
"821165","PUNGGOL","2004-05-01"
"670614","BUKIT PANJANG","2002-04-01"
"541117","SENGKANG","2000-07-01"
"824126","PUNGGOL","2003-03-01"
"510543","PASIR RIS","1992-11-28"
"380109","GEYLANG","1986-01-01"
"670178","BUKIT PANJANG","2001-12-01"
"570129","BISHAN","1987-02-01"
"682688","CHOA CHU KANG","2002-03-01"
"730124","WOODLANDS","1995-03-01"
"520438","TAMPINES","1985-12-01"
"541200","SENGKANG","2001-08-01"
"751351","SEMBAWANG","2001-10-01"
"523492","TAMPINES","1993-07-01"
"570180","BISHAN","1988-04-01"
"791447","SENGKANG","2013-11-01"
"530005","SERANGOON","1978-05-01"
"510428","PASIR RIS","1990-01-01"
"540194","SENGKANG","2001-05-01"
"510140","PASIR RIS","1994-04-01"
"520369","TAMPINES","1997-03-01"
"510413","PASIR RIS","1989-11-01"
"760146","YISHUN","1985-04-01"
"670439","BUKIT PANJANG","1989-10-01"
"730845","WOODLANDS","1994-06-01"
"560522","ANG MO KIO","1980-08-01"
"510150","PASIR RIS","1995-02-01"
"310238","TOA PAYOH","1986-07-01"
"550236","SERANGOON","1985-06-01"
"550125","SERANGOON","1986-02-01"
"550333","SERANGOON","1986-08-01"
"531980","HOUGANG","2003-06-01"
"752503","SEMBAWANG","2001-08-01"
"560619","ANG MO KIO","1996-05-01"
"520496","TAMPINES","1993-07-08"
"120606","CLEMENTI","1979-11-01"
"560219","ANG MO KIO","1977-07-01"
"760304","YISHUN","1988-01-01"
"510245","PASIR RIS","1993-07-01"
"793408","SENGKANG","2005-02-01"
"760446","YISHUN","2012-07-01"
"560347","ANG MO KIO","1978-01-01"
"510106","PASIR RIS","1989-02-01"
"120373","CLEMENTI","1981-09-01"
"671259","BUKIT PANJANG","1989-09-01"
"510240","PASIR RIS","1993-07-01"
"510446","PASIR RIS","1989-10-01"
"562596","ANG MO KIO","2002-12-01"
"402003","GEYLANG","2011-12-01"
"050538","CENTRAL AREA","1978-10-01"
"530555","HOUGANG","1992-09-19"
"430011","GEYLANG","1976-07-01"
"550520","SERANGOON","1992-10-23"
"550224","SERANGOON","1984-07-01"
"560467","ANG MO KIO","1979-11-01"
"320103","KALLANG/WHAMPOA","1981-08-01"
"161025","BUKIT MERAH","1973-01-01"
"762429","YISHUN","2015-12-01"
"543313","SENGKANG","2003-05-01"
"390039","GEYLANG","2005-03-01"
"190003","KALLANG/WHAMPOA","1979-09-01"
"541208","SENGKANG","2011-11-01"
"550114","SERANGOON","1986-03-01"
"570308","BISHAN","1984-12-01"
"530620","HOUGANG","1985-08-01"
"560353","ANG MO KIO","2001-09-01"
"530328","HOUGANG","1983-07-01"
"560634","ANG MO KIO","1980-07-01"
"731012","WOODLANDS","2013-06-01"
"510141","PASIR RIS","1995-01-01"
"523499","TAMPINES",NULL
"760710","YISHUN","1984-04-01"
"510215","PASIR RIS","1993-07-01"
"120118","CLEMENTI","1984-10-01"
"510554","PASIR RIS","1992-11-28"
"320115","KALLANG/WHAMPOA","1994-01-01"
"510239","PASIR RIS","1993-07-12"
"440012","MARINE PARADE","1975-01-01"
"761640","YISHUN","1992-05-27"
"530806","HOUGANG","1988-06-01"
"760161","YISHUN","1985-06-01"
"500001","PASIR RIS","1980-07-01"
"570270","BISHAN","1992-07-22"
"521495","TAMPINES","1994-01-01"
"520352","TAMPINES","1996-08-01"
"510274","PASIR RIS","1994-04-01"
"510477","PASIR RIS","1989-10-01"
"163021","BUKIT MERAH","2003-09-01"
"822203","PUNGGOL","2004-11-01"
"531471","HOUGANG","2015-05-01"
"160041","BUKIT MERAH","1973-01-01"
"822168","PUNGGOL","2009-03-01"
"526496","TAMPINES","1993-07-01"
"510139","PASIR RIS","1994-04-01"
"521886","TAMPINES","1988-07-01"
"550511","SERANGOON","1997-05-01"
"523495","TAMPINES","1994-01-01"
"470622","BEDOK","1981-03-01"
"510101","PASIR RIS","1988-11-01"
"530120","HOUGANG","1983-03-01"
"510476","PASIR RIS","1989-11-01"
"730630","WOODLANDS","1998-09-01"
"510425","PASIR RIS","1989-11-01"
"530946","HOUGANG","1998-09-01"
"470142","BEDOK","1986-11-01"
"090108","BUKIT MERAH","1984-07-01"
"732897","WOODLANDS","1997-07-01"
"651449","BUKIT BATOK",NULL
"821676","PUNGGOL",NULL
"510153","PASIR RIS","1995-02-01"
"760287","YISHUN","1985-08-01"
"510267","PASIR RIS","1994-10-01"
"510266","PASIR RIS","1994-10-01"
"730008","WOODLANDS","1976-01-01"
"520498","TAMPINES","1997-07-01"
"822642","PUNGGOL","2005-01-01"
"510195","PASIR RIS","1993-09-01"
"470773","BEDOK","2000-12-01"
"140169","QUEENSTOWN","1970-07-01"
"520270","TAMPINES","1985-12-01"
"460540","BEDOK","1980-06-01"
"542190","SENGKANG","2000-05-01"
"560417","ANG MO KIO","1979-08-01"
"730577","WOODLANDS","2000-11-01"
"670237","BUKIT PANJANG","1988-10-01"
"510409","PASIR RIS","1989-12-01"
"527491","TAMPINES","1993-07-08"
"730816","WOODLANDS","1994-12-01"
"461063","BEDOK","1978-05-01"
"200637","CENTRAL AREA","1985-05-01"
"680568","CHOA CHU KANG","1995-06-01"
"520468","TAMPINES","1987-04-01"
"824102","PUNGGOL","2002-11-01"
"510251","PASIR RIS","1993-07-01"
"520357","TAMPINES","1996-05-01"
"160138","BUKIT MERAH","1983-08-01"
"310126","TOA PAYOH","1970-01-01"
"524493","TAMPINES","1993-07-01"
"760205","YISHUN","1985-01-01"
"521487","TAMPINES","1989-11-01"
"440055","MARINE PARADE","1975-01-01"
"510241","PASIR RIS","1993-07-01"
"650242","BUKIT BATOK","1985-12-01"
"560311","ANG MO KIO","1978-01-01"
"750311","SEMBAWANG","1998-11-01"
"510120","PASIR RIS","1988-07-01"
"310011","TOA PAYOH","1998-02-01"
"680515","CHOA CHU KANG","1995-09-01"
"520374","TAMPINES","1995-09-01"
"823617","PUNGGOL","2013-09-01"
"730583","WOODLANDS","2001-05-01"
"510483","PASIR RIS","1989-08-01"
"510122","PASIR RIS","1989-06-01"
"730671","WOODLANDS","2000-11-01"
"460539","BEDOK","1980-01-01"
"510209","PASIR RIS","1993-09-01"
"760127","YISHUN","1984-12-01"
"521638","TAMPINES",NULL
"519713","PASIR RIS",NULL
"544178","SENGKANG","2015-03-01"
"520491","TAMPINES","1993-07-08"
"380097","GEYLANG","1975-08-01"
"560418","ANG MO KIO","1979-08-01"
"510268","PASIR RIS","1994-10-01"
"760320","YISHUN","1988-02-01"
"824105","PUNGGOL","2003-05-01"
"520349","TAMPINES","1996-05-01"
"120330","CLEMENTI","1978-07-01"
"311172","TOA PAYOH","1995-04-01"
"760234","YISHUN","1985-10-01"
"520348","TAMPINES","1996-05-01"
"510415","PASIR RIS","1990-03-01"
"510411","PASIR RIS","1990-01-01"
"520246","TAMPINES","1997-01-01"
"100059","BUKIT MERAH","1976-09-01"
"510109","PASIR RIS","1990-09-01"
"320102","KALLANG/WHAMPOA","1981-12-01"
"510770","PASIR RIS","1996-08-01"
"730161","WOODLANDS","1990-04-01"
"310163","TOA PAYOH","1972-07-01"
"440071","MARINE PARADE","1977-01-01"
"400349","GEYLANG","1986-01-01"
"510559","PASIR RIS","1993-07-12"
"370049","GEYLANG","1969-01-01"
"820646","PUNGGOL","2005-01-01"
"550421","SERANGOON","1989-05-01"
"510254","PASIR RIS","1993-12-01"
"380013","KALLANG/WHAMPOA","1999-06-01"
"530429","HOUGANG","1989-07-01"
"510190","PASIR RIS","1993-09-01"
"762424","YISHUN","2015-12-01"
"650389","BUKIT BATOK","2005-02-01"
"510237","PASIR RIS","1993-07-01"
"530710","HOUGANG","1987-01-01"
"570207","BISHAN","1992-04-16"
"521227","TAMPINES","1986-04-01"
"730749","WOODLANDS","1998-03-01"
"530169","HOUGANG","1997-12-01"
"530540","HOUGANG","1989-11-01"
"730772","WOODLANDS","1997-11-01"
"400340","GEYLANG","1986-01-01"
"650248","BUKIT BATOK","1985-07-01"
"670101","BUKIT PANJANG","1987-09-01"
"510474","PASIR RIS","1989-12-01"
"510405","PASIR RIS","1989-12-01"
"542185","SENGKANG","2000-12-01"
"822312","PUNGGOL","2015-06-01"
"822172","PUNGGOL","2004-04-01"
"510273","PASIR RIS","1994-04-01"
"530525","HOUGANG","1987-12-01"
"760207","YISHUN","1985-04-01"
"510565","PASIR RIS","1992-11-28"
"650348","BUKIT BATOK","1987-02-01"
"521161","TAMPINES","1984-09-01"
"541209","SENGKANG","2011-11-01"
"670431","BUKIT PANJANG","1988-12-01"
"440028","MARINE PARADE","1975-03-01"
"530340","HOUGANG","1985-03-01"
"510149","PASIR RIS","1995-02-01"
"332059","KALLANG/WHAMPOA","1998-12-01"
"520439","TAMPINES","1987-07-01"
"730879","WOODLANDS","1996-06-01"
"543262","SENGKANG","2001-04-01"
"560201","ANG MO KIO","1977-04-01"
"510478","PASIR RIS","1992-11-28"
"520110","TAMPINES","1988-06-01"
"470123","BEDOK","1987-10-01"
"462152","BEDOK",NULL
"522487","TAMPINES","1990-02-01"
"530240","HOUGANG","1984-10-01"
"510244","PASIR RIS","1993-07-01"
"510208","PASIR RIS","1993-09-01"
"520334","TAMPINES","1996-01-01"
"510127","PASIR RIS","1989-06-01"
"822207","PUNGGOL","2014-06-01"
"523493","TAMPINES","1993-07-01"
"320035","KALLANG/WHAMPOA","1971-01-01"
"527450","TAMPINES","1996-11-01"
"510158","PASIR RIS","1995-02-01"
"400304","GEYLANG","2000-05-01"
"520922","TAMPINES","1984-07-01"
"543201","SENGKANG","2001-07-01"
"530125","HOUGANG","1981-08-01"
"560175","ANG MO KIO","1981-07-01"
"150086","BUKIT MERAH","1973-01-01"
